id,titulo,sinopsis,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
1,El oro del dragón devora mundos,"El héroe entra en la cueva Zarpjun para buscar el oro del dragón devora mundos. En su viaje, enfrenta gremlins, mini agujeros negros y engaños del duende loco.",La entrada de la cueva,Gremlins en la penumbra,El lago de cristal ilusorio,Primer abismo estelar,El engaño del duende loco,El puente gravitacional,La danza de los espíritus guardianes,El susurro del dragón dormido,El oro maldito,El retorno con cicatrices
2,El bastón de la última luna,Una joven hechicera busca el bastón legendario que solo aparece bajo la última luna. Criaturas lunares y pruebas mágicas le esperan.,La profecía olvidada,Los lobos de la noche eterna,El bosque plateado,Los espejos de Nareth,La luna de sangre,Las ruinas flotantes,El acertijo del espíritu lunar,El encuentro con la guardiana,La invocación del bastón,La elección del destino
3,La torre del eco eterno,Un grupo de aventureros entra a una torre donde los ecos del pasado toman forma. Cada piso revela un secreto olvidado.,La puerta que susurra,El vestíbulo del tiempo,El niño que nunca fue,El espejo del traidor,La biblioteca de gritos,Los relojes rotos,El juicio de los ecos,La memoria robada,El guardián del abismo,La cima del olvido
4,Los siete sellos de Endur,Un guerrero y un sabio deben romper siete sellos mágicos para evitar que Endur despierte. Cada sello guarda un desafío.,El pergamino prohibido,La puerta del lamento,El lago del silencio,El tercer sello: la serpiente,La fortaleza vacía,Las máscaras del miedo,El templo del fuego negro,El sello del engaño,La grieta del mundo,Endur despierta
5,Crónicas de un viajero del maná,Un viajero puede absorber maná de cada mundo que visita. Su objetivo: salvar su tierra natal de una sequía mágica.,La fuga de Arken,Los portales del vacío,El mundo sumergido,La tormenta del tiempo,La ciudad del polvo viviente,Los sabios del eclipse,El nudo del caos,La fuente de los ancestros,El sacrificio final,El renacer del maná
6,La corona del fauno eterno,Un reino vive en bucle gracias a una corona maldita. Un héroe extranjero desafía el ciclo para liberar al pueblo.,El día que nunca termina,Los ojos del fauno,La caravana errante,El pozo sin fondo,Los ecos de la traición,La llave del ciclo,El juicio del bosque,El duelo con el eterno,La corona rota,Un nuevo amanecer
7,Niebla sobre los reinos dormidos,"Una niebla mágica cubre los reinos, durmiendo a sus habitantes. Solo los soñadores lúcidos pueden salvar el mundo.",La bruma inicial,Los durmientes de cristal,El sueño del cuervo blanco,Las puertas de Somnia,El espejo entre mundos,La marcha de los sin rostro,El trueno silencioso,El despertar del oráculo,La batalla en la mente,La niebla se disipa
8,Las runas del titán caído,Los restos de un titán antiguo están marcados por runas vivientes. Cada una otorga poder... o condena.,El hallazgo de piedra,Runas en la piel,El eco del titán,Sangre en la montaña,La caverna de las promesas,El despertar del brazo,Los sabios corruptos,El sello del pecho,El grito del cráneo,El fin de la maldición
9,La melodía de las almas errantes,Un laúd encantado atrae almas errantes que no pueden descansar. Un trovador busca darles paz tocando la melodía perfecta.,La canción prohibida,El bosque de los que cantan,Los fragmentos del laúd,La voz del río,La sombra del compositor,Los susurros del viento,El coro de los caídos,La nota imposible,El descanso eterno,El silencio final
10,El códice del vacío viviente,Un libro antiguo devora la realidad a su paso. Solo quien logre reescribir su última página podrá cerrar el ciclo.,La aparición del códice,Los fragmentos de tinta,El guardián sin ojos,El laberinto escrito,Las palabras que matan,El pacto de tinta y carne,La última historia escrita,El fuego de las páginas,La pluma de los dioses,El cierre del ciclo
